광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,1.935861333E9,4.2,4.2344657E8,16.5
강원특별자치도,원주시,1.935861333E9,4.2,4.51614095E8,17.6
강원특별자치도,강릉시,1.935861333E9,4.2,3.79654335E8,14.8
강원특별자치도,동해시,1.935861333E9,4.2,1.36981278E8,5.3
강원특별자치도,태백시,1.935861333E9,4.2,6.9885568E7,2.7
강원특별자치도,속초시,1.935861333E9,4.2,1.86982029E8,7.3
강원특별자치도,삼척시,1.935861333E9,4.2,1.0770875E8,4.2
강원특별자치도,홍천군,1.935861333E9,4.2,1.18015291E8,4.6
강원특별자치도,횡성군,1.935861333E9,4.2,8.0824787E7,3.1
강원특별자치도,영월군,1.935861333E9,4.2,5.3149988E7,2.1
강원특별자치도,평창군,1.935861333E9,4.2,1.0529972E8,4.1
강원특별자치도,정선군,1.935861333E9,4.2,6.6722913E7,2.6
강원특별자치도,철원군,1.935861333E9,4.2,6.4024009E7,2.5
강원특별자치도,화천군,1.935861333E9,4.2,4.1226602E7,1.6
강원특별자치도,양구군,1.935861333E9,4.2,3.4498749E7,1.3
강원특별자치도,인제군,1.935861333E9,4.2,6.6906873E7,2.6
강원특별자치도,고성군,1.935861333E9,4.2,8.0023135E7,3.1
강원특별자치도,양양군,1.935861333E9,4.2,1.01031933E8,3.9
경기도,수원시 장안구,1.1194000722E10,24.1,3.34008005E8,1.9
경기도,수원시 권선구,1.1194000722E10,24.1,3.6158114E8,2.1
경기도,수원시 팔달구,1.1194000722E10,24.1,3.81467722E8,2.2
경기도,수원시 영통구,1.1194000722E10,24.1,4.80426758E8,2.8
경기도,성남시 수정구,1.1194000722E10,24.1,3.07185588E8,1.8
경기도,성남시 중원구,1.1194000722E10,24.1,2.34455068E8,1.4
경기도,성남시 분당구,1.1194000722E10,24.1,8.52383673E8,4.9
경기도,의정부시,1.1194000722E10,24.1,5.17054059E8,3.0
경기도,안양시 만안구,1.1194000722E10,24.1,2.80595765E8,1.6
경기도,안양시 동안구,1.1194000722E10,24.1,3.92269463E8,2.3
경기도,부천시,1.1194000722E10,24.1,9.5775604E8,5.5
경기도,광명시,1.1194000722E10,24.1,3.46840297E8,2.0
경기도,평택시,1.1194000722E10,24.1,5.87198819E8,3.4
경기도,동두천시,1.1194000722E10,24.1,1.06598694E8,0.6
경기도,안산시 상록구,1.1194000722E10,24.1,3.09278012E8,1.8
경기도,안산시 단원구,1.1194000722E10,24.1,4.60166932E8,2.7
경기도,고양시 덕양구,1.1194000722E10,24.1,6.04818663E8,3.5
경기도,고양시 일산동구,1.1194000722E10,24.1,5.20099009E8,3.0
경기도,고양시 일산서구,1.1194000722E10,24.1,3.86941475E8,2.2
경기도,과천시,1.1194000722E10,24.1,1.52020502E8,0.9
경기도,구리시,1.1194000722E10,24.1,3.70192105E8,2.1
경기도,남양주시,1.1194000722E10,24.1,8.22583483E8,4.7
경기도,오산시,1.1194000722E10,24.1,2.70760737E8,1.6
경기도,시흥시,1.1194000722E10,24.1,5.07046872E8,2.9
경기도,군포시,1.1194000722E10,24.1,3.1102558E8,1.8
경기도,의왕시,1.1194000722E10,24.1,2.06138252E8,1.2
경기도,하남시,1.1194000722E10,24.1,4.70847079E8,2.7
경기도,용인시 처인구,1.1194000722E10,24.1,3.90993054E8,2.3
