기준년월,광역지자체,방문자 구분,방문자 수
2020,전국,현지인방문자(a),8.231797994E9
2020,전국,외지인방문자(b),2.467299655E9
2020,전국,외국인방문자(c),2152450.0
2020,전국,외부방문자(b+c),2.469452105E9
2020,전국,전체방문자(a+b+c),1.0701250099E10
2021,전국,현지인방문자(a),8.765376879E9
2021,전국,외지인방문자(b),2.504146782E9
2021,전국,외국인방문자(c),2185915.0
2021,전국,외부방문자(b+c),2.506332696E9
2021,전국,전체방문자(a+b+c),1.1271709575E10
2022,전국,현지인방문자(a),9.32079959E9
2022,전국,외지인방문자(b),2.798087624E9
2022,전국,외국인방문자(c),5605424.0
2022,전국,외부방문자(b+c),2.803693048E9
2022,전국,전체방문자(a+b+c),1.2124492638E10
2023,전국,현지인방문자(a),9.456385813E9
2023,전국,외지인방문자(b),2.915070764E9
2023,전국,외국인방문자(c),2.6510433E7
2023,전국,외부방문자(b+c),2.941581197E9
2023,전국,전체방문자(a+b+c),1.239796701E10
